student_id,name,email,department,year,registration_date,photo_path
STU002,Jane Smith,jane.smith@email.com,Electronics,3,2024-01-16,
STU003,Mike Johnson,mike.johnson@email.com,Mechanical,1,2024-01-17,
STU004,Test Student,test@email.com,Computer Science,2,2025-07-30 23:13:41,uploads\20250730_231530_test_face.jpg
STU009,No File Test,test5@email.com,Computer Science,2,2025-07-30 23:16:49,uploads\20250730_231530_test_face.jpg
TEST231950,Basic Test Student,basic.test.231950@email.com,Computer Science,2,2025-07-30 23:19:52,uploads\20250730_231530_test_face.jpg
PHOTO231955,Photo Test Student,photo.test.231955@email.com,Engineering,3,2025-07-30 23:19:57,uploads\20250730_231530_test_face.jpg
TEST232456,Basic Test Student,basic.test.232456@email.com,Computer Science,2,2025-07-30 23:24:58,uploads\20250730_231530_test_face.jpg
PHOTO232500,Photo Test Student,photo.test.232500@email.com,Engineering,3,2025-07-30 23:25:02,uploads\20250730_231530_test_face.jpg
TESTNO001,Test No Photo,testnophoto@example.com,Computer Science,2,2025-07-31 21:53:06,uploads\20250730_231530_test_face.jpg
TESTREAL001,Test Real Upload,testreal@example.com,Computer Science,2,2025-07-31 21:57:03,uploads\20250730_231530_test_face.jpg
123456789,asdfghjkl,adrq23dewa@mail.com,Computer Science,Graduate,2025-07-31 22:29:46,
987654321,Steve Jobs,vinn@3elearning.com,Mathematics,3,2025-08-04 21:55:16,uploads\20250804_215516_steve_jobs_1.jpg
98765432134,Steve Jobse,vinnw@3elearning.com,Physics,4,2025-08-07 22:33:37,uploads\20250804_215516_steve_jobs_1.jpg
